Village,Town
Willimantic,Windham
Uncasville,Montville
Plantsville,Southington
Niantic,East Lyme
Storrs Mansfield,Mansfield
Winsted,Winchester
Vernon Rockville,Vernon
Dayville,Killingly
South Glastonbury,Glastonbury
Pawcatuck,Stonington
Danielson,Killingly
Oakville,Watertown
Southport,Fairfield
Stafford Springs,Stafford
Storrs,Mansfield
Old Greenwich,Greenwich
Cos Cob,Greenwich
Unionville,Farmington
Mashantucket,Ledyard
Bantam,Litchfield
Sandy Hook,Newtown
North Windham,Windham
Northford,North Branford
Centerbrook,Essex
Milldale,Southington
Lakeville,Salisbury
Washington Depot,Washington
Oakdale,Montville
North Grosvenordale,Thompson
Collinsville,Canton
Gales Ferry,Ledyard
Moosup,Plainfield
Riverside,Greenwich
Higganum,Haddam
Jewett City,Griswold
Baltic,Sprague
Kensington,Berlin
Taftville,Norwich
Terryville,Plymouth
North Franklin,Franklin
Yalesville,Wallingford
South Windham,Windham
Weatogue,Simsbury
Yantic,Norwich
Mansfield Center,Mansfield
Pomfret Center,Pomfret
Rockville,Vernon
Riverton,Barkhamsted
Quinebaug,Thompson
Ivoryton,Essex
Gaylordsville,New Milford
Tariffville,Simsbury
Moodus,East Haddam
West Cornwall,Cornwall
West Simsbury,Simsbury
Cornwall Bridge,Cornwall
Central Village,Plainfield
Somersville,Somers
East Hartland,Hartland
Broad Brook,East Windsor
New Preston,Washington
Rockfall,Middlefield
South Norwalk,Norwalk
Amston,Hebron
Cobalt,East Hampton
New Preston Marble Dale,Washington
Hanover,Sprague
North Granby,Granby
Devon,Milford
South Kent,Kent
Woodstock Valley,Woodstock
Old Saybrooik,Old Saybrook
Westchester,Colchester
East Berlin,Berlin
Falls Village,Canaan
Groton Long Point,Groton
Huntington,Shelton
Glenville,Greenwich
Marion,Southington
Hadlyme,East Haddam
Mystic-Stonington,Stonington
East Norwalk,Norwalk
Stony Creek,Branford
West Suffield,Suffield
East Canaan,North Canaan
Abington,Pomfret